No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
89;FR005;Ayam, daging, segar;55,9;298;18,2;25;-;-;0,9;14;200;1,5;109;385,9;0,11;2;245;5;-;0,08;0,14;10,4;-;58;Tunggal;Daging;DABM-1964
90;FR006;Ayam, dideh/darah, segar;82;75;13,8;1,9;0,7;-;1,6;15;9;1,3;337;234;-;-;15;-;-;0,02;-;0,6;-;100;Tunggal;Daging;DABM-1964
91;FR008;Babi, daging, gemuk,segar;42;453;11,9;45;-;-;1,1;7;117;1,8;112;819,3;0,22;0,4;-;-;-;0,58;0,59;5,9;-;100;Tunggal;Daging;DABM-1964
92;FR009;Babi, daging, kurus, segar;50;371;14,1;35;-;-;0,9;8;151;2,1;97;706,3;0,19;0,4;-;-;-;0,67;0,33;5,4;-;100;Tunggal;Daging;DABM-1964
93;FR010;Babi, ginjal, segar;77,1;110;16,3;4,6;0,8;-;1,2;11;246;8;139;390;0,71;3,2;39;10;-;0,58;1,59;9,1;13;100;Tunggal;Daging;DABM-1964
94;FR011;Babi, hati, segar;72,3;129;19,7;4,8;1,7;-;1,5;10;362;18;110;447;0,58;0,1;4.303;6;-;0,4;1,16;5,7;23;100;Tunggal;Daging;DABM-1964
95;DR006;Baligo, segar;96,1;15;0,4;0,2;3;0,4;0,3;19;19;0,4;2;131,1;0,02;0,6;-;-;-;0,04;0,02;0,3;13;69;Tunggal;Sayur;DABM-1964
96;DR007;Bawang bombay, segar;87,5;43;1,4;0,2;10,3;2;0,6;32;44;0,5;12;9,6;0,1;0,3;-;788;50;0,03;0,21;0,4;9;94;Tunggal;Sayur;DABM-1964
97;NR007;Bawang merah, segar;88;46;1,5;0,3;9,2;1,7;1;36;40;0,8;7;178,6;0,06;0,2;-;2;-;0,03;0,04;0,2;2;90;Tunggal;Bumbu;DABM-1964
98;NR008;Bawang putih, segar;71;112;4,5;0,2;23,1;0,6;1,8;42;134;1;46;665,7;0,09;0,4;-;-;-;0,22;0,07;0,3;15;88;Tunggal;Bumbu;DABM-1964
99;FR012;Bebek (itik), daging, segar;54,3;321;16;28,6;-;-;1,1;15;188;1,8;54;199;0,21;1,2;273;-;-;0,1;0,28;4,3;-;60;Tunggal;Daging;DABM-1964
100;ER006;Belimbing, segar;90;36;0,4;0,4;8,8;3,3;0,4;4;12;1,1;4;130;-;0,1;-;29;170;0,03;-;-;35;86;Tunggal;Buah;DABM-1964
101;AR010;Beras menir, mentah;12;362;7,7;4,4;73;0,2;0,2;22;272;3,7;90;201;0,1;0,5;-;-;-;0,55;0,04;1,9;-;100;Tunggal;Serealia;DABM-1964
102;AR011;Beras parboiled;10;353;6,8;0,6;80;0,5;2,5;5;142;0,8;2;46;0,28;1;-;-;-;0,22;0,11;3,4;-;100;Tunggal;Serealia;DABM-1964
103;AP006;Bihun, mentah;12,9;348;4,7;0,1;82,1;1,2;0,2;6;35;1,8;12;5;0,08;0,7;-;-;-;-;-;0,2;-;100;Olahan;Serealia;DABM-1964
104;AP029;Biskuit;2,2;458;6,9;14,4;75,1;2,1;1,4;62;87;2,7;241;20,3;0,16;0,6;-;14;-;0,09;0,15;1,4;-;100;Olahan;Serealia;DABM-1964
105;DR010;Bit, segar;87,6;41;1,6;0,1;9,6;2,6;1,1;27;43;1;29;404,9;0,2;0,7;-;-;20;0,02;0,05;0,3;10;75;Tunggal;Sayur;DABM-1964
106;NR009;Boros kunci, segar;90;40;1;0,8;7,2;1;1;50;50;2;33;480;0,02;0,3;-;-;5.000;0,08;0,68;1,7;50;80;Tunggal;Bumbu;DABM-1964
107;NR010;Boros laja (lengkuas), segar;93;26;1;0,3;4,7;1,1;1;50;50;2;24;137,1;0,07;0,3;-;5;5.000;0,08;0,06;0,3;50;80;Tunggal;Bumbu;DABM-1964
108;ER008;Buah atung, segar;92;23;0,8;0,2;5,2;-;1,8;30;50;4,6;-;-;-;-;-;-;-;0,29;-;-;38;80;Tunggal;Buah;DABM-1964
109;ER011;Buah mentega (Bisbul), segar;89;39;0,7;0,2;9,7;2;0,4;43;17;0,8;1;90;0,06;0,1;-;141;55;0,02;0,01;0,1;33;50;Tunggal;Buah;DABM-1964
110;ER015;Buah nona, segar;71,5;101;1,7;0,6;25,2;2,8;1;27;20;0,8;5;312,5;325,7;0,1;-;49;-;0,08;0,16;0,9;22;58;Tunggal;Buah;DABM-1964
111;CP020;Bungkil biji karet;12;333;29,3;3,3;50;-;29,4;102;660;12;-;-;-;-;-;-;-;0,1;-;-;-;100;Olahan;Kacang;DABM-1964
